scenario_id,major,term,max_units_per_semester,completed_courses,transcript_text,prefer_light_workload
edge_dsai_01,Master of Science in Data Science and Artificial Intelligence,Spring 2026,9,,,false
edge_dsai_02,Master of Science in Data Science and Artificial Intelligence,Spring 2026,9,,,true
edge_dsai_03,Master of Science in Data Science and Artificial Intelligence,Spring 2026,6,,,false
edge_dsai_04,Master of Science in Data Science and Artificial Intelligence,Spring 2026,6,,,true
edge_dsai_05,Master of Science in Data Science and Artificial Intelligence,Fall 2026,9,"MATH 226; CSC 230",,false
edge_dsai_06,Master of Science in Data Science and Artificial Intelligence,Fall 2026,9,"MATH 226; CSC 230",,true
edge_dsai_07,Master of Science in Data Science and Artificial Intelligence,Fall 2026,6,"MATH 226; CSC 230",,false
edge_dsai_08,Master of Science in Data Science and Artificial Intelligence,Fall 2026,6,"MATH 226; CSC 230",,true
edge_dsai_09,Master of Science in Data Science and Artificial Intelligence,Spring 2026,9,"MATH 226; CSC 230; CSC 510",,false
edge_dsai_10,Master of Science in Data Science and Artificial Intelligence,Spring 2026,9,"MATH 226; CSC 230; CSC 510",,true
edge_dsai_11,Master of Science in Data Science and Artificial Intelligence,Fall 2026,9,"MATH 226; CSC 230; CSC 510",,false
edge_dsai_12,Master of Science in Data Science and Artificial Intelligence,Fall 2026,9,"MATH 226; CSC 230; CSC 510",,true
edge_dsai_13,Master of Science in Data Science and Artificial Intelligence,Spring 2026,9,,"Completed: MATH 226, CSC 230, CSC 510, CSC 805",false
edge_dsai_14,Master of Science in Data Science and Artificial Intelligence,Spring 2026,9,,"Completed: MATH 226, CSC 230, CSC 510, CSC 805",true
edge_dsai_15,Master of Science in Data Science and Artificial Intelligence,Fall 2026,6,,"Completed: MATH 226, CSC 230, CSC 510, CSC 805",false
edge_dsai_16,Master of Science in Data Science and Artificial Intelligence,Fall 2026,6,,"Completed: MATH 226, CSC 230, CSC 510, CSC 805",true
