professor_name,review_text
Abdur Sikder,"Very good professor, excels at explaining the concepts to students in basic terms and drawing insights from industry standards. Friendly and approachable."
Abdur Sikder,His lectures are hard to listen to. Homework is easy but tests are horrible. They are also the main graded segments. Handwriting is legible but hard to read. Claims his class is easy because the topics are easy but does not teach as such. grades very lightly. I messed up on my midterm but he bumped it up a few. i dont feel like i learned. :[
Abdur Sikder,"Lectures are nothing more than reading slides (which are already awful and made by a different professor 5+ years ago) and his voice is so quiet that students have to ask him to speak up every class. Final was 30% of final grade, bloated with more questions so it's actually worth more than 30% in the end. SFSU Machine Structures is a scam course."
Aklia  de Silva,"He's the only professor (not a lecturer) currently teaching CSC 220. An extremely experienced programmer, he incorporates plenty of live coding into his lectures, making it an excellent way to learn Java programming and data structures. He is vary caring and easy going. I highly recommend taking CSC 220 with him."
Aklia  de Silva,"I believe 95% of the kids get either A/B in the course. Attendance quizzes, 6 homework assignments and a midterm and final are the majority of this class. If you have quarter of a brain you'll do fine."
Aklia  de Silva,"mandatory lecture quizzes that you work on by urself then he shows how to solve.20% of grade. HW not long, 40% of grade. 2 Multiple choice exams 20% each. can explain anything. He is worth being your first option for professor. Low stress, good for people working or have other obligations in life"
Aklia  de Silva,"Good teacher! took him for 220, is very passionate about the subject and helps explain, has quizzes every class but don't worry he goes over it so its impossible to not get full points, homework assignments are easy to understand, midterms are based off quizzes he give during class. 10/10 professor would 100% take him again"
Aklia  de Silva,"Professor Akila fostered an environment where critical thinking and deeper understanding were valued. Challenging topics like recursion, linked lists, and trees were broken down into clear, digestible explanations with practical examples that connected theory to real-world applications."
Aklia  de Silva,One of the best professors I ever had.
Aklia  de Silva,"Very good class, learned a lot and it's very easy to get a good grade if you lock in and participate in the lectures. Final/Midterm is multiple choice, making it so much better in comparison to the written CS tests, which made me understand the topics much better as I was able to focus rather than worry about the actual written code. GOATED"
Aklia  de Silva,"Took him for CSC 220, Data Structures. The old adage rings true, ""those who can't do, teach."" Avoid this professor at all costs."
Aklia  de Silva,great
Aklia  de Silva,"I recently took CSC 665 with Professor Akila de Silva. He is not a tough grader. The course consist of assignments and quizzes making up 60% of the overall grade, followed by two midterms, each worth 10%, and a final exam worth 20%. Also, there was an optional mini-project that offered 10% extra credit, which was a great opportunity for students."
Anagha Kulkarni,"Took CS620 with this professor. I found the environment difficult for asking questions. When students sought clarification, she often responded with laughter rather than an explanation, which discouraged class participation. I'd recommend looking for a section that better fosters open discussion."
Anagha Kulkarni,"Takes things too personally, lacks professionalism. Teaches some concepts well and most concepts horribly. Outdated teaching practices. Hate the way she pronounces ""matrices"". Lecture slides are a mess, and she goes through them so fast. I uploaded all the slides onto ChatGPT to learn the material. Also, HW is irrelevant and not discussed at all."
Anagha Kulkarni,"Very difficult class as the lectures were not very helpful in the quizzes nor homework, and you are expected to learn on your own for most of the homework assignments. Her slides for class are also very confusing to look at (jumbled up, especially if you are trying to look at it before a quiz) and explanations are confusing as well."
Anagha Kulkarni,"Very impressive for a week and a half, then disappointments and more disappointments. She is very unorganized and apparently unprepared for the class. However, she preaches and blames it all on students. Her knowledge is very outdated. She is too busy with so many roles and offices she is holding. No time for teaching or students. Grading is awful."
Anagha Kulkarni,A drama queen. She tries hard to be young and sweet. Her lectures are confusing. She tests on things she does not cover. Her assignments are totally outdated and irrelevant in some ways. It is to tell that she does not prepare for her lectures. She reads of the ppt slides and often loses track of what she is saying.
Anagha Kulkarni,"if you aren't good with attendance and showing up on time, don't sign up for this class. attendance, 12 weekly quizzes that are based on lectures, and 6 homework assignments are 90% of the class. The quizzes are somewhat tough but if you read the lectures you should be fine. The homework assignments are vague, so ask questions if you're confused."
Anagha Kulkarni,"She is very sweet and wants everyone to learn and succeed in the class, however, her lectures are not engaging; she reads from the slides and her explanations are vague.Quizes are kind of hard but if you learn the material you should do ok. Homework is outdated and sometimes difficult to understand so you do not really know what to do."
Anagha Kulkarni,"Easily one of the best professors. Her lectures are amazing and funnily enough, NLP is probably the best ""intro to AI"" course simply because she explains all the concepts so well. Attendance is mandatory and there are weekly quizzes based off the slides from the previous week. Do the work, attend class, and it's an easy A and you'll learn lots."
Anagha Kulkarni,"Professor Kulkarni is not a good pick for this class, unfortunately she is the only professor who teaches NLP at SFSU. I would rather take an online course from Coursera."
Anagha Kulkarni,Very interesting lectures with a caring and respectful professor. Fun assignments but sometimes are a bit tedious due to some outdated packages to install and fix.
Andrew  Scott,One of the most easy going professors at SFSU. You'll have fun learning from him if you are really interested in learning the art of Full stack development.
Andrew  Scott,One of the best teachers I've had so far at SFSU. Highly recommend. Industry experience and wants students to succeed.
Andrew  Scott,"Professor Scott is one of the best computer science teachers I have ever had. His projects are straightforward and you will learn new things. Even when they get difficult, the solutions give you the necessary experience for software development projects. He is also accessible outside of class and very helpful."
Andrew  Scott,"Professor is very understanding and wants you to succeed. His class is straightforward and you just need to stay up with the work because doing projects last minute is almost a death sentence for your grade. I would recommend, if possible, to do the group projects with people you are familiar with and/or have good work ethic/ communication."
Andrew  Scott,"He's an excellent teacher, addressing all questions seriously. One semester entails three solo assignments and a group report, split into three parts. If your group remains active, it's not challenging. Earning points is straightforward, and extra credit is available. Achieving an A shouldn't be too difficult."
Andrew  Scott,Extremely unreasonable grading
Anthony Souza,Best guy this side of the golden gate bridge
Anthony Souza,"Prof Souza is amazing. I was terrified to take CSC and had a lot of preconceived notions about taking CSC, but all of those fears were shattered by how great a Prof he is. Every topic was presented in an understandable and digestible way. He treats every student with respect and truly wants to see you succeed. Def take his class."
Anthony Souza,"Great professor. Took it in summer, lectures mainly focused on assignments and had recordings. Get ready to read, instructions of assignments are very long but not difficult. Always turned the lecture before assignment deadline into an optional lab session. Attendance as EC and also provided EC on assignments."
Anthony Souza,"He is chill and understanding. His lectures are amazing. He makes us understand the materials easily. Take his class, you will not regret."
Anthony Souza,"Don't take him unless you're unemployed and/or enrolled part-tine. That is where all his good reviews come from. Assignments have prompts up to 20 pages long, or more. And he doesn't prepare you for them at all. Allergic to teaching. Expects students to learn everything on their own. Does not approve W's or pass/no-pass. Hates his job and students."
Anthony Souza,"This course is more about how much you put in. The class lectures were middle of the ground, most of the time it feels like hes just trying to take up time till he hits the end of class. Yeah its a easy course basically a free A. If you do everything and dont use AI you learn quite a bit, but can't say its due to him more so due to the projects."
Anthony Souza,"Took his class over the summer, so it was a bit more accelerated, but the way he taught the material was good and I enjoyed his class overall. It was a solo project which I heard has been turned into a group project, so it was a bit more difficult but he was pretty lenient with the grading."
Anthony Souza,"I don't understand his high rating. He gets very off-topic. I had to watch recordings of lectures even though I attended them. Applying the lectures to the homework is like searching for a needle in a haystack he is so off-topic. Also, I had a very serious injury preventing me from taking the final. He ghosted and failed me like a coward. Unreal!!!"
Anthony Souza,"Loved his csc101, felt like rather than straight up zombie coding I was actually learning something, it felt good and he was always there to answer questions."
Anthony Souza,Good Professor
Anthony Arno,"He had absolutely no energy in any of his lessons it was very dry. If you don't have any previous CAD experience this class may be tough. He is rigorous on how you draft and present drawings, grades very harshly. I will give him the benefit of the doubt because it was an evening class, everyone wants to go home. He's a mediocre Professor."
Anthony Arno,"Down to earth guy. Class can be dry at times. Tends to rush in presenting things on AutoCAD. Wish he would slow down so I can take notes on how to do certain things. Class is passable, you can show up and basically wing it. Homework is 30%. Drawing Assignmetns 60% and the final exam is 10%."
